CLOSED DATE,OPEID,SCHOOL NAME,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
08/13/2021 ,00391950     ,UNIVERSITY OF WISCONSIN - LACROSSE                                    ,UNIVERSITY OF WISCONSIN - LACROSSE - BETHEL HORIZONS                  ,312 WISCONSIN AVENUE                                                   ,MADISON                  ,WI        ,53703-2103
08/13/2021 ,00391951     ,UNIVERSITY OF WISCONSIN - LACROSSE                                    ,UNIVERSITY OF WISCONSIN - LACROSSE - NORTH WOODS INTERNATIONAL SCHOOL ,2541 SABLEWOOD ROAD                                                    ,LA CROSSE                ,WI        ,54601-2994
08/10/2021 ,01028630     ,SUNY EMPIRE STATE COLLEGE                                             ,SUNY EMPIRE STATE COLLEGE - HAUPPAUGE                                 ,ROOM 1A11 NYS OFFICE BLDG. 250 VETERANS MEMORIAL HIGHWAY               ,HAUPPAUGE                ,NY        ,11788-5539
08/09/2021 ,82098880     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - JERSEY CITY STUDENT RESOURCE CENTER           ,88 TOWN SQUARE PLACE                                                   ,JERSEY CITY              ,NJ        ,07310-2772
08/07/2021 ,00739402     ,BERKELEY COLLEGE                                                      ,BERKELEY COLLEGE  -  WESTCHESTER CAMPUS                               ,99 CHURCH STREET                                                       ,WHITE PLAINS             ,NY        ,10601-9963
08/07/2021 ,00904300     ,ELMIRA BUSINESS INSTITUTE                                             ,ELMIRA BUSINESS INSTITUTE                                             ,4100 OLD VESTAL ROAD VESTAL EXECUTIVE PARK                             ,VESTAL                   ,NY        ,13850-3555
08/04/2021 ,01028607     ,SUNY EMPIRE STATE COLLEGE                                             ,SUNY EMPIRE STATE COLLEGE - NORTHEAST CENTER                          ,21 BRITISH AMERICAN BOULEVARD                                          ,LATHAM                   ,NY        ,12110-1405
08/04/2021 ,01028628     ,SUNY EMPIRE STATE COLLEGE                                             ,SUNY EMPIRE STATE COLLEGE - SUFFERN                                   ,ESC @ ROCKLAND COMMUNITY COLLEGE 145 COLLEGE ROAD                      ,SUFFERN                  ,NY        ,10901-3620
08/01/2021 ,00367400     ,INDEPENDENCE UNIVERSITY                                               ,INDEPENDENCE UNIVERSITY                                               ,1350 WEST 1890 SOUTH                                                   ,WEST HAVEN               ,UT        ,84401-1420
08/01/2021 ,00367403     ,INDEPENDENCE UNIVERSITY                                               ,STEVENS HENAGER COLLEGE-SALT LAKE CITY                                ,383 WEST VINE STREET                                                   ,MURRAY                   ,UT        ,84123-5671
