CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
07/28/2020 ,00303005     ,OHIO CHRISTIAN UNIVERSITY                                             ,OHIO CHRISTIAN UNIVERSITY -  BROOKSIDE CHURCH                         ,2215 EGYPT PIKE                                                        ,CHILLICOTHE              ,OH        ,45601-9431
07/28/2020 ,10163444     ,AURORA UNIVERSITY                                                     ,AURORA UNIVERSITY - CENTRAL JUNIOR HIGH SCHOOL                        ,601 TAYLOR STREET                                                      ,EAST PEORIA              ,IL        ,61611-0000
07/28/2020 ,10163494     ,AURORA UNIVERSITY                                                     ,AURORA UNIVERSITY - CRYSTAL LAKE #47 CORE CENTER                      ,300 COMMERCE DRIVE                                                     ,CRYSTAL LAKE             ,IL        ,60014-0000
07/28/2020 ,20163402     ,AURORA UNIVERSITY                                                     ,AURORA UNIVERSITY - JOLIET JUNIOR COLLEGE                             ,1215 HOUBOLT ROAD                                                      ,JOLIET                   ,IL        ,60431-0000
07/28/2020 ,20163405     ,AURORA UNIVERSITY                                                     ,AURORA UNIVERSITY - OREGON HIGH SCHOOL                                ,206 SOUTH 10TH STREET                                                  ,OREGON                   ,IL        ,61061-0000
07/29/2020 ,02105901     ,BRITTANY BEAUTY ACADEMY                                               ,BRITTANY BEAUTY ACADEMY -                                             ,29 WEST 36TH STREET 2ND FLOOR                                          ,NEW YORK CITY            ,NY        ,10018-7675
07/29/2020 ,03054100     ,ROYALE COLLEGE OF BEAUTY AND BARBERING                                ,ROYALE COLLEGE OF BEAUTY AND BARBERING                                ,27485 COMMERCE CENTER DRIVE                                            ,TEMECULA                 ,CA        ,92590-2525
07/30/2020 ,00217303     ,NORTH SHORE COMMUNITY COLLEGE                                         ,NORTH SHORE COMMUNITY COLLEGE - NORTH SHORE BUSINESS CENTER           ,30 LOG BRIDGE ROAD                                                     ,MIDDLETON                ,MA        ,01949-2252
07/31/2020 ,00252165     ,WEBSTER UNIVERSITY                                                    ,WEBSTER UNIVERSITY - NORTHWEST ARKANSAS CAMPUS                        ,1200 WEST WALNUT STREET SUITE 1300                                     ,ROGERS                   ,AR        ,72756-3592
07/31/2020 ,00396505     ,BAY STATE COLLEGE                                                     ,BAY STATE COLLEGE - 5TH BOSTON CAMPUS                                 ,437 BOYLSTON STREET                                                    ,BOSTON                   ,MA        ,02116-3604
